Category: All categories

Week,Ryan Gosling: (Worldwide)
2021-06-13,63
2021-06-20,60
2021-06-27,68
2021-07-04,69
2021-07-11,70
2021-07-18,67
2021-07-25,57
2021-08-01,61
2021-08-08,62
2021-08-15,67
2021-08-22,64
2021-08-29,57
2021-09-05,54
2021-09-12,60
2021-09-19,56
2021-09-26,53
2021-10-03,55
2021-10-10,58
2021-10-17,61
2021-10-24,75
2021-10-31,60
2021-11-07,78
2021-11-14,73
2021-11-21,65
2021-11-28,59
2021-12-05,60
2021-12-12,68
2021-12-19,80
2021-12-26,84
2022-01-02,89
2022-01-09,80
2022-01-16,72
2022-01-23,66
2022-01-30,64
2022-02-06,65
2022-02-13,62
2022-02-20,56
2022-02-27,60
2022-03-06,64
2022-03-13,84
2022-03-20,81
2022-03-27,100
2022-04-03,78
2022-04-10,79
2022-04-17,69
2022-04-24,78
2022-05-01,74
2022-05-08,88
2022-05-15,76
2022-05-22,77
2022-05-29,68
2022-06-05,69
