Category: All categories

Week,Ryan Gosling: (Worldwide)
2017-06-11,30
2017-06-18,31
2017-06-25,30
2017-07-02,33
2017-07-09,32
2017-07-16,33
2017-07-23,32
2017-07-30,32
2017-08-06,31
2017-08-13,32
2017-08-20,30
2017-08-27,29
2017-09-03,30
2017-09-10,30
2017-09-17,36
2017-09-24,39
2017-10-01,100
2017-10-08,76
2017-10-15,46
2017-10-22,45
2017-10-29,35
2017-11-05,34
2017-11-12,39
2017-11-19,35
2017-11-26,32
2017-12-03,28
2017-12-10,28
2017-12-17,35
2017-12-24,39
2017-12-31,40
2018-01-07,35
2018-01-14,34
2018-01-21,31
2018-01-28,31
2018-02-04,31
2018-02-11,33
2018-02-18,34
2018-02-25,33
2018-03-04,34
2018-03-11,28
2018-03-18,29
2018-03-25,29
2018-04-01,27
2018-04-08,27
2018-04-15,26
2018-04-22,29
2018-04-29,28
2018-05-06,25
2018-05-13,27
2018-05-20,25
2018-05-27,26
2018-06-03,28
2018-06-10,28
2018-06-17,27
2018-06-24,29
2018-07-01,26
2018-07-08,28
2018-07-15,25
2018-07-22,33
2018-07-29,26
2018-08-05,25
2018-08-12,27
2018-08-19,26
2018-08-26,35
2018-09-02,29
2018-09-09,29
2018-09-16,27
2018-09-23,34
2018-09-30,30
2018-10-07,37
2018-10-14,35
2018-10-21,30
2018-10-28,27
2018-11-04,26
2018-11-11,30
2018-11-18,25
2018-11-25,24
2018-12-02,24
2018-12-09,26
2018-12-16,26
2018-12-23,29
2018-12-30,32
2019-01-06,29
2019-01-13,28
2019-01-20,31
2019-01-27,28
2019-02-03,30
2019-02-10,30
2019-02-17,31
2019-02-24,30
2019-03-03,29
2019-03-10,26
2019-03-17,25
2019-03-24,26
2019-03-31,21
2019-04-07,21
2019-04-14,27
2019-04-21,23
2019-04-28,21
2019-05-05,21
2019-05-12,21
2019-05-19,23
2019-05-26,22
2019-06-02,18
2019-06-09,20
2019-06-16,23
2019-06-23,24
2019-06-30,24
2019-07-07,25
2019-07-14,25
2019-07-21,24
2019-07-28,23
2019-08-04,22
2019-08-11,21
2019-08-18,24
2019-08-25,21
2019-09-01,22
2019-09-08,22
2019-09-15,21
2019-09-22,19
2019-09-29,21
2019-10-06,20
2019-10-13,21
2019-10-20,20
2019-10-27,19
2019-11-03,21
2019-11-10,23
2019-11-17,20
2019-11-24,21
2019-12-01,19
2019-12-08,23
2019-12-15,22
2019-12-22,25
2019-12-29,25
2020-01-05,23
2020-01-12,22
2020-01-19,22
2020-01-26,21
2020-02-02,25
2020-02-09,33
2020-02-16,24
2020-02-23,21
2020-03-01,21
2020-03-08,18
2020-03-15,21
2020-03-22,23
2020-03-29,24
2020-04-05,24
2020-04-12,26
2020-04-19,28
2020-04-26,26
2020-05-03,26
2020-05-10,24
2020-05-17,22
2020-05-24,22
2020-05-31,22
2020-06-07,21
2020-06-14,22
2020-06-21,21
2020-06-28,21
2020-07-05,19
2020-07-12,23
2020-07-19,23
2020-07-26,21
2020-08-02,21
2020-08-09,20
2020-08-16,20
2020-08-23,21
2020-08-30,20
2020-09-06,21
2020-09-13,18
2020-09-20,18
2020-09-27,17
2020-10-04,23
2020-10-11,21
2020-10-18,21
2020-10-25,26
2020-11-01,25
2020-11-08,29
2020-11-15,24
2020-11-22,26
2020-11-29,21
2020-12-06,21
2020-12-13,21
2020-12-20,23
2020-12-27,26
2021-01-03,22
2021-01-10,19
2021-01-17,20
2021-01-24,21
2021-01-31,22
2021-02-07,20
2021-02-14,25
2021-02-21,19
2021-02-28,22
2021-03-07,21
2021-03-14,18
2021-03-21,18
2021-03-28,20
2021-04-04,19
2021-04-11,19
2021-04-18,20
2021-04-25,17
2021-05-02,18
2021-05-09,17
2021-05-16,18
2021-05-23,18
2021-05-30,18
2021-06-06,17
2021-06-13,17
2021-06-20,16
2021-06-27,18
2021-07-04,19
2021-07-11,19
2021-07-18,18
2021-07-25,16
2021-08-01,17
2021-08-08,17
2021-08-15,18
2021-08-22,17
2021-08-29,16
2021-09-05,15
2021-09-12,16
2021-09-19,15
2021-09-26,15
2021-10-03,15
2021-10-10,16
2021-10-17,17
2021-10-24,20
2021-10-31,16
2021-11-07,21
2021-11-14,20
2021-11-21,18
2021-11-28,16
2021-12-05,16
2021-12-12,19
2021-12-19,22
2021-12-26,23
2022-01-02,24
2022-01-09,22
2022-01-16,20
2022-01-23,18
2022-01-30,17
2022-02-06,18
2022-02-13,17
2022-02-20,15
2022-02-27,16
2022-03-06,17
2022-03-13,23
2022-03-20,22
2022-03-27,27
2022-04-03,21
2022-04-10,22
2022-04-17,19
2022-04-24,21
2022-05-01,20
2022-05-08,24
2022-05-15,21
2022-05-22,21
2022-05-29,18
2022-06-05,19
