Category: All categories

Country,Morgenstern: (6/11/17 - 6/11/22)
Turkmenistan,100
Moldova,35
Uzbekistan,22
Germany,15
Romania,13
Austria,11
Tajikistan,10
Armenia,8
Liechtenstein,
Switzerland,6
Latvia,6
Kyrgyzstan,5
Kazakhstan,5
Russia,4
Ukraine,4
Belarus,4
Azerbaijan,4
Luxembourg,
Estonia,3
Poland,2
Georgia,2
Czechia,2
Lithuania,2
Norway,1
France,1
St. Helena,
Israel,1
Réunion,
Slovenia,
Netherlands,1
Hungary,1
United States,1
Slovakia,1
Belgium,1
Finland,1
Cyprus,
Croatia,
Denmark,1
Canada,1
Brazil,1
Iceland,
Italy,1
Sweden,1
New Zealand,1
Serbia,
United Kingdom,1
Ireland,1
Montenegro,
Spain,<1
Bulgaria,
Australia,<1
North Macedonia,
Portugal,<1
Singapore,
Qatar,
Costa Rica,
Lebanon,
Greece,<1
Argentina,<1
Paraguay,
Malta,
Bosnia & Herzegovina,
South Africa,<1
Panama,
Mexico,<1
China,
Guatemala,
United Arab Emirates,
Philippines,<1
Chile,<1
Colombia,<1
Peru,<1
Hong Kong,
Morocco,
Ecuador,
Venezuela,
El Salvador,
South Korea,
Turkey,<1
Kenya,
Pakistan,
Iran,<1
Botswana,
Malaysia,
Egypt,
Nigeria,
Vietnam,<1
Indonesia,<1
India,<1
Thailand,
Japan,
St. Pierre & Miquelon,
French Polynesia,
Seychelles,
Aruba,
Sint Maarten,
Faroe Islands,
St. Barthélemy,
Guadeloupe,
Andorra,
Gibraltar,
Martinique,
Djibouti,
Malawi,
Curaçao,
St. Lucia,
Guernsey,
Togo,
Namibia,
Papua New Guinea,
Belize,
Congo - Brazzaville,
Nicaragua,
Trinidad & Tobago,
Madagascar,
Grenada,
Kosovo,
Jamaica,
Burundi,
Antigua & Barbuda,
Cuba,
Maldives,
Bahamas,
French Guiana,
Albania,
Jersey,
Haiti,
Benin,
Cape Verde,
Liberia,
Cayman Islands,
Tunisia,
Uruguay,
Eswatini,
Guyana,
Senegal,
Gabon,
Brunei,
Honduras,
Dominican Republic,
Palestine,
New Caledonia,
Mauritius,
Côte d’Ivoire,
Cameroon,
Isle of Man,
Puerto Rico,
Sierra Leone,
Congo - Kinshasa,
Zambia,
Nepal,
Bolivia,
Fiji,
Zimbabwe,
Mongolia,
Suriname,
Angola,
Bahrain,
Cambodia,
Afghanistan,
Sri Lanka,
Barbados,
Tanzania,
Syria,
Myanmar (Burma),
Sudan,
Mozambique,
Bangladesh,
Ghana,
Oman,
Algeria,
Yemen,
Taiwan,
Libya,
Ethiopia,
Jordan,
Kuwait,
Saudi Arabia,
Laos,
Uganda,
Iraq,
Anguilla,
Åland Islands,
American Samoa,
Antarctica,
French Southern Territories,
Caribbean Netherlands,
Burkina Faso,
Bermuda,
Bhutan,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Cook Islands,
Comoros,
Christmas Island,
Dominica,
Eritrea,
Western Sahara,
Falkland Islands (Islas Malvinas),
Micronesia,
Guinea,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Greenland,
Guam,
Heard & McDonald Islands,
British Indian Ocean Territory,
Kiribati,
St. Kitts & Nevis,
Lesotho,
Macao,
St. Martin,
Monaco,
Marshall Islands,
Mali,
Northern Mariana Islands,
Mauritania,
Montserrat,
Mayotte,
Niger,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
Palau,
North Korea,
Rwanda,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
Solomon Islands,
San Marino,
Somalia,
South Sudan,
São Tomé & Príncipe,
Turks & Caicos Islands,
Chad,
Tokelau,
Timor-Leste,
Tonga,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
