Category: All categories

Week,Morgenstern: (Worldwide)
2021-06-13,100
2021-06-20,99
2021-06-27,95
2021-07-04,95
2021-07-11,93
2021-07-18,85
2021-07-25,77
2021-08-01,76
2021-08-08,77
2021-08-15,78
2021-08-22,70
2021-08-29,78
2021-09-05,78
2021-09-12,80
2021-09-19,76
2021-09-26,73
2021-10-03,79
2021-10-10,73
2021-10-17,74
2021-10-24,75
2021-10-31,77
2021-11-07,97
2021-11-14,86
2021-11-21,81
2021-11-28,94
2021-12-05,99
2021-12-12,84
2021-12-19,80
2021-12-26,86
2022-01-02,80
2022-01-09,82
2022-01-16,80
2022-01-23,75
2022-01-30,62
2022-02-06,71
2022-02-13,68
2022-02-20,70
2022-02-27,65
2022-03-06,65
2022-03-13,76
2022-03-20,70
2022-03-27,68
2022-04-03,67
2022-04-10,75
2022-04-17,65
2022-04-24,67
2022-05-01,68
2022-05-08,69
2022-05-15,61
2022-05-22,62
2022-05-29,82
2022-06-05,64
