Category: All categories

Week,Morgenstern: (Worldwide)
2017-06-11,41
2017-06-18,36
2017-06-25,42
2017-07-02,39
2017-07-09,43
2017-07-16,40
2017-07-23,35
2017-07-30,36
2017-08-06,42
2017-08-13,40
2017-08-20,36
2017-08-27,40
2017-09-03,42
2017-09-10,44
2017-09-17,33
2017-09-24,38
2017-10-01,44
2017-10-08,35
2017-10-15,43
2017-10-22,42
2017-10-29,40
2017-11-05,42
2017-11-12,41
2017-11-19,43
2017-11-26,45
2017-12-03,46
2017-12-10,58
2017-12-17,51
2017-12-24,45
2017-12-31,51
2018-01-07,48
2018-01-14,48
2018-01-21,48
2018-01-28,44
2018-02-04,44
2018-02-11,50
2018-02-18,50
2018-02-25,49
2018-03-04,46
2018-03-11,48
2018-03-18,50
2018-03-25,43
2018-04-01,47
2018-04-08,38
2018-04-15,39
2018-04-22,35
2018-04-29,42
2018-05-06,37
2018-05-13,39
2018-05-20,33
2018-05-27,37
2018-06-03,36
2018-06-10,37
2018-06-17,35
2018-06-24,35
2018-07-01,33
2018-07-08,38
2018-07-15,32
2018-07-22,39
2018-07-29,40
2018-08-05,48
2018-08-12,37
2018-08-19,38
2018-08-26,34
2018-09-02,44
2018-09-09,41
2018-09-16,47
2018-09-23,43
2018-09-30,45
2018-10-07,45
2018-10-14,48
2018-10-21,43
2018-10-28,44
2018-11-04,53
2018-11-11,55
2018-11-18,48
2018-11-25,47
2018-12-02,50
2018-12-09,58
2018-12-16,49
2018-12-23,50
2018-12-30,69
2019-01-06,70
2019-01-13,66
2019-01-20,59
2019-01-27,49
2019-02-03,61
2019-02-10,54
2019-02-17,52
2019-02-24,55
2019-03-03,49
2019-03-10,44
2019-03-17,48
2019-03-24,45
2019-03-31,40
2019-04-07,46
2019-04-14,46
2019-04-21,45
2019-04-28,47
2019-05-05,41
2019-05-12,40
2019-05-19,46
2019-05-26,43
2019-06-02,41
2019-06-09,41
2019-06-16,41
2019-06-23,39
2019-06-30,31
2019-07-07,40
2019-07-14,38
2019-07-21,40
2019-07-28,34
2019-08-04,36
2019-08-11,36
2019-08-18,43
2019-08-25,61
2019-09-01,48
2019-09-08,45
2019-09-15,44
2019-09-22,46
2019-09-29,39
2019-10-06,43
2019-10-13,43
2019-10-20,42
2019-10-27,45
2019-11-03,61
2019-11-10,52
2019-11-17,55
2019-11-24,63
2019-12-01,63
2019-12-08,57
2019-12-15,71
2019-12-22,79
2019-12-29,64
2020-01-05,74
2020-01-12,65
2020-01-19,69
2020-01-26,63
2020-02-02,59
2020-02-09,57
2020-02-16,62
2020-02-23,57
2020-03-01,54
2020-03-08,48
2020-03-15,44
2020-03-22,42
2020-03-29,51
2020-04-05,50
2020-04-12,51
2020-04-19,45
2020-04-26,44
2020-05-03,42
2020-05-10,41
2020-05-17,40
2020-05-24,48
2020-05-31,44
2020-06-07,68
2020-06-14,47
2020-06-21,46
2020-06-28,48
2020-07-05,48
2020-07-12,52
2020-07-19,49
2020-07-26,61
2020-08-02,56
2020-08-09,52
2020-08-16,43
2020-08-23,48
2020-08-30,52
2020-09-06,54
2020-09-13,57
2020-09-20,61
2020-09-27,57
2020-10-04,59
2020-10-11,50
2020-10-18,58
2020-10-25,66
2020-11-01,58
2020-11-08,68
2020-11-15,62
2020-11-22,51
2020-11-29,52
2020-12-06,51
2020-12-13,54
2020-12-20,57
2020-12-27,83
2021-01-03,99
2021-01-10,71
2021-01-17,59
2021-01-24,68
2021-01-31,60
2021-02-07,53
2021-02-14,53
2021-02-21,54
2021-02-28,50
2021-03-07,53
2021-03-14,57
2021-03-21,60
2021-03-28,96
2021-04-04,54
2021-04-11,49
2021-04-18,48
2021-04-25,65
2021-05-02,74
2021-05-09,49
2021-05-16,100
2021-05-23,76
2021-05-30,77
2021-06-06,69
2021-06-13,59
2021-06-20,59
2021-06-27,56
2021-07-04,56
2021-07-11,55
2021-07-18,50
2021-07-25,45
2021-08-01,45
2021-08-08,46
2021-08-15,46
2021-08-22,41
2021-08-29,46
2021-09-05,46
2021-09-12,47
2021-09-19,45
2021-09-26,43
2021-10-03,47
2021-10-10,43
2021-10-17,44
2021-10-24,44
2021-10-31,46
2021-11-07,57
2021-11-14,51
2021-11-21,48
2021-11-28,56
2021-12-05,58
2021-12-12,50
2021-12-19,47
2021-12-26,51
2022-01-02,47
2022-01-09,49
2022-01-16,47
2022-01-23,44
2022-01-30,37
2022-02-06,42
2022-02-13,40
2022-02-20,41
2022-02-27,39
2022-03-06,38
2022-03-13,45
2022-03-20,42
2022-03-27,40
2022-04-03,39
2022-04-10,44
2022-04-17,38
2022-04-24,39
2022-05-01,40
2022-05-08,41
2022-05-15,36
2022-05-22,37
2022-05-29,48
2022-06-05,38
