Category: All categories

Week,Vladimir Putin: (Worldwide)
2021-06-13,6
2021-06-20,2
2021-06-27,2
2021-07-04,2
2021-07-11,2
2021-07-18,2
2021-07-25,1
2021-08-01,1
2021-08-08,1
2021-08-15,2
2021-08-22,2
2021-08-29,2
2021-09-05,2
2021-09-12,2
2021-09-19,2
2021-09-26,2
2021-10-03,3
2021-10-10,2
2021-10-17,2
2021-10-24,1
2021-10-31,1
2021-11-07,2
2021-11-14,2
2021-11-21,2
2021-11-28,2
2021-12-05,3
2021-12-12,2
2021-12-19,4
2021-12-26,4
2022-01-02,2
2022-01-09,2
2022-01-16,3
2022-01-23,6
2022-01-30,5
2022-02-06,7
2022-02-13,12
2022-02-20,92
2022-02-27,100
2022-03-06,52
2022-03-13,35
2022-03-20,26
2022-03-27,17
2022-04-03,16
2022-04-10,14
2022-04-17,12
2022-04-24,13
2022-05-01,14
2022-05-08,15
2022-05-15,10
2022-05-22,8
2022-05-29,10
2022-06-05,7
